类别,百科名,百科内容
大学,高职院校,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<div label-module=""para"">　　高等职业教育，简称高职。在中国大陆地区，高等职业教育包括本科和专科两个学历教育层次，高职学生毕业时颁发国家承认学历的普通高等学校专科（三年制）或本科（四年制）毕业证书，并享受普通高校毕业生的一切待遇。</div>
<div label-module=""para"">　　根据教育部相关规定，从上世纪末起非师范、非医学、非公安类的专科层次全日制普通高等学校应逐步规范校名后缀为""职业技术学院""或“职业学院”，而师范、医学、公安类的专科层次全日制普通高等学校则应规范校名后缀为""高等专科学校""。 ""职业技术学院""或“职业学院”为高职院校的特有校名后缀，是中国高等教育的重要组成部分。</div>
<div label-module=""para"">　　为响应中国教育部构建现代职业教育体系的规划，部分国家示范性高等职业院校从2012年起开始试办本科层次的专业（与本科院校合办）。高等职业教育已包括本科和专科两个学历教育层次；而在其他许多国家和地区的高等职业教育体系则完整的囊括了专科、本科、硕士、博士等层次的学历教育。</div>
</div></div>
            "
大学,九校联盟,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<p align=""justify"">　　九校联盟（C9）是中国首个顶尖大学间的高校联盟，于2009年10月启动。联盟成员都是国家首批985重点建设的9所一流大学，包括<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school31.htm"" name=""AnchorAddByWCM"">北京大学</a>、<a href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school140.htm"">清华大学</a>、<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school132.htm"" name=""AnchorAddByWCM"">复旦大学</a>、<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school125.htm"" name=""AnchorAddByWCM"">上海交通大学</a>、<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school111.htm"" name=""AnchorAddByWCM"">南京大学</a>、<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school114.htm"" name=""AnchorAddByWCM"">浙江大学</a>、<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school66.htm"" name=""AnchorAddByWCM"">中国科学技术大学</a>、<a title=""null"" target=""_blank"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school34.htm"" name=""AnchorAddByWCM"">哈尔滨工业大学</a>、<a href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school330.htm"">西安交通大学</a>共9所高校。</p>
<p align=""justify"">　　九校联盟形式类似于美国常春藤联盟、英国罗素大学集团、澳大利亚八校集团等，旨在人才培养、科学研究等领域加强合作与交流，优势互补，被国际上称为中国常春藤盟校。联盟成立后展开了多项实质性活动，如互派交换生、召开研讨会、开展暑期夏令营等。</p>
<p align=""justify"">　　注：以上信息来自网络，非官方发布，仅供参考！</p>
</div></div>
            "
大学,华东五校,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<p align=""justify"">　　华东五校，即复旦大学、上海交通大学、南京大学、浙江大学、中国科学技术大学，是网络上民间对中国东部沿海华东地区和长三角经济区五所顶尖高校的统称，简称“华五”。“华东五校”这一概念最早出现于21世纪初的网络论坛上，随着互联网的普及而迅速在关注高等教育的网民中流传开来，并被广为接受。</p>
<div label-module=""para"">　　华东长三角经济区内的这五所大学一般被公认为和位于中国首都北京的北京大学、清华大学、中国科学院大学同属中国实力最顶尖的八所大学（其中北大、清华的国家定位最高）。华东五校中，复旦大学、上海交通大学位于中国直辖市上海，另外三所大学分别位于江苏、浙江、安徽三省的省会城市。华东五校均是中央部委直属全国重点大学、中央直管副部级建制、国家首批211工程和985工程重点建设高校、国家首批“双一流”世界一流大学A类建设高校。　　</div>
<div label-module=""para"">
<p align=""justify"">　　注：以上信息来自网络，非官方发布，仅供参考！</p>
</div>
</div></div>
            "
大学,国防七校,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<p align=""justify"">　　国防七校，又名“国防七子”，是指原国防科工委（现工信部）所属的七所高校，包括：北京航空航天大学（航天、航空）、北京理工大学（兵器、航天）、哈尔滨工业大学（航天、航空）、西北工业大学（航空、航天、航海、兵器）、哈尔滨工程大学（航海、核能、航天、航空、兵器）、南京航空航天大学（航天、航空、民航）、南京理工大学（兵器）。</p>
<p align=""justify"">　　注：以上信息来自网络，非官方发布，仅供参考</p>
</div></div>
            "
大学,武汉七校联盟,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<div label-module=""para"">　　武汉七校联盟，又称七校联合办学，是指在中国湖北省武汉地区七所中华人民共和国教育部直属高等学校之间实施的一种联合办学模式，根据资源共享，优势互补，平等互利，相互促进的原则，七校从1999年开始联合办学，学生可以跨校跨学科辅修第二学位。</div>
<div label-module=""para"">　　联合办学由武汉大学、华中科技大学、华中师范大学、武汉理工大学、中国地质大学、华中农业大学和中南财经政法大学这7所全国重点大学组成，各自拿出本校特色优势专业联合办学，这七所高校的本科生，可以任选其中一所学校的公共选修课或专业课，可拿双学位，相当于“一张录取通知书，可上七所名校”。</div>
<div label-module=""para"">　　中国武汉地区重点大学之间的七校联合办学是中国大陆持续时间最长、实质性参与高校最多、合作范围最广、受益学生最多的一种联合办学模式。</div>
　　注：以上信息来自网络，非官方发布，仅供参考
<div label-module=""para""> </div>
</div></div>
            "
大学,建筑老八校,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<div label-module=""para"">　　“建筑老八校”，是业内乃至学界对较早开设建筑学、城市规划相关专业，且在行业内拥有重大影响力的八所高校的概称。国内知名的建筑院校，即“四大”：清华大学、同济大学、东南大学、天津大学；“四小”：华南理工大学、重庆大学、哈尔滨工业大学、西安建筑科技大学。这八所院校就是业界俗称的“老八校”。八大高校地处东西南北中，均各据一方，各有特色，每所学校都有自己的专长。　　</div>
<div label-module=""para"">
<div label-module=""para"">　　“老八校”培养了大量的土建类优秀人才，其建筑学一级学科排名均在全国院校前列，专业实力毋庸置疑，在中国建筑界的地位无人能撼，对于很多用人单位来说，""老八校""的出身是一块就业的敲门砖。</div>
</div>
<div label-module=""para"">　　另外，建筑学与土木工程并不等同，需注意。</div>
<p align=""justify"">　　以上信息来自网络，非官方发布，仅供参考</p>
</div></div>
            "
大学,两电一邮,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<p align=""justify"">　　“两电一邮”是指IT界中三所著名高校，即为：电子科技大学（在成都，简称“成电”，“电子科大”）、西安电子科技大学（在西安，简称“西电”）、北京邮电大学（在北京，简称“北邮”）。这三所高校，在教育部的IT领域的专业排名中名列前茅。是中国IT人才培养的重要基地。这三所学校是很多想要在IT行业发展和成长的学子首选之处。每年高考收分也是相当高的。其中“两电一邮”培养出的企业界知名校友就有：丁磊、孙亚芳、柳传志、李默芳、张立贵、唐骏等。</p>
<p>　　网络整理，仅供参考。</p>
</div></div>
            "
大学,四大工学院,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<div label-module=""para"">　　1952年院系调整后，中央人民政府政务院在全国七大行政区域着重调拨组建了八大工学院，其中教育部直属的有四所重点工学院，即中国最早建立的四所著名重点工学院，分别为南京工学院（现<a title=""null"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school109.htm"" target=""_blank"" name=""AnchorAddByWCM"" class=""ContentLink"">东南大学</a>）、华南工学院（现<a title=""null"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school105.htm"" target=""_blank"" name=""AnchorAddByWCM"" class=""ContentLink"">华南理工大学</a>）、华中工学院（现<a title=""null"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school127.htm"" target=""_blank"" name=""AnchorAddByWCM"" class=""ContentLink"">华中科技大学</a>）、大连工学院（现大连理工大学）。</div>
<div label-module=""para"">　　在1952年前后的全国院系调整过程中，基于国家工业建设的需要，为了培养工业建设人才和师资，国家大力发展独立建制的工科院校，教育部直属四大工学院正是在这一背景下创建的、实力和影响力在当时都很靠前的高等多科性工业大学。</div>
</div></div>
            "
大学,长安联盟,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<p align=""justify"">　　2017年5月17日，陕西师范大学、<a title=""null"" href=""http://gkcx.eol.cn/schoolhtm/schoolTemple/school37.htm"" target=""_blank"" name=""AnchorAddByWCM"">西北大学</a>、西安外国语大学、西北政法大学、西安邮电大学联合成立陕西高校“长安联盟”。又因西安市内616路公交正好穿过5所大学，又被网友和校友戏称616联盟。</p>
<div label-module=""para"">　　“长安联盟”通过深化合作，不断拓展合作内容，释放人才、资源等创新要素的活力，促进学科交叉融合，培育新的学科增长点，协同解决国家和区域发展的重大战略问题，使各校资源优势有效放大，加快学科、专业、人才和成果等四个一流建设。</div>
<div label-module=""para"">　　联盟各高校将从4个方面加强全面的战略合作。一是联合培养，充分发挥现有特色专业的人才培养优势，为其他高校学生提供跨校、跨专业学习机会。二是资源开放，联盟高校积极推进图书资料、学术讲座、学科竞赛、在线课程、实验室等教学科研资源共享。三是协同创新，联盟高校通过多种合作形式，充分聚合优质资源，在学科建设、人才培养、科学研究等领域推进协同创新。四是师资互聘，联盟高校的师资在人事关系保持不变的前提下，在教学、科研领域实行互聘共享。</div>
<div label-module=""para"">　　注：网络整理，仅供参考</div>
</div></div>
            "
专业,双一流学科,"<div class=""con-jianjie"">
				双一流是世界一流大学和一流学科建设，教育部印发的《教育部2016年工作要点》中要求，加快世界一流大学和一流学科建设，制订“双一流”实施办法。专家认为，启动实施的“统筹推进两个一流”战略，是中国大学冲刺国际前列、打造顶尖学府的“冲锋号”。以下是教育部公布的双一流建设高校和建设学科名单。
			</div>
			"
分数线,批次线,"<div class=""TRS_Editor""><p align=""justify"">　　也叫各批各类录取控制分数线。即省招办按照国家有关文件规定，根据当年招生计划、全省考生统考成绩统计表和往年考生复读等因素，按略大于招生计划数确定各批各类录取控制分数线。划定录取控制分数线的原则是既要考虑普通高校能够完成招生计划，又要减少自然落选的人数。</p></div>
            "
分数线,院校投档线,"<div class=""TRS_Editor""><p align=""justify"">　　在录取时，各省招办按照院校的调档要求，根据考生志愿报考情况，向招生院校批量投档。批量投档的分数最低的考生成绩即为该院校的投档线（亦称提档线、调档线、进档线）。</p>
<p align=""justify"">　　在同批录取的院校中，由于报考人数和考生成绩不均衡，形成的各院校投档分数线也不一样。它们的共同点一般是在同批录取控制分数线以上，而其不同点是部分院校由于生源充足，其投档线高于同批录取控制分数线，有的院校由于生源不足，投档分数线就只好定到同批录取控制分数线。</p>
<p align=""justify"">　　因此，有的考生统考成绩虽然生了同批录取控制分数线，但由于未达到所报院校的投档分数线，电子档案不能投放，因而参加不了该志愿的录取。</p></div>
            "
分数线,模拟投档线,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<p align=""justify"">　　按照教育部规定，院校模拟投档线是按高校在相关省已公布的本批次招生计划数和提交的最终投档比例进行模拟投档形成的分数线。</p>
<p align=""justify"">　　仅适用于自主招生、高水平艺术团和定向就业招生等录取投档。</p>
<p align=""justify"">　　院校模拟投档线不是院校正式投档线，可能与实际投档线不一致。</p>
</div></div>
            "
分数线,一分一段表,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<p align=""justify"">　　高考成绩公布后，省教育考试院网站公布各科类考生成绩统计表。</p>
<p align=""justify"">　　一分一段表是根据考生考分（含各类照顾加分）从高到低排序，以一分为一段，制成考生投档分的“一分段表”。考生填报志愿前，第一步要知道自己的位次，也就是说要比较准确地知道自己在全省同类考生中的排位。一分段表是一个比较重要的参照资料，对帮助考生合理选报志愿非常重要。</p>
</div></div>
            "
分数线,分数级差,"<div class=""TRS_Editor""><p>　　<strong>高考志愿填报术语</strong></p>
<p>　　所谓级差，是指高校在录取第一志愿和非第一志愿考生时最低录取控制线的分数差。一般情况下，录取非第一志愿考生的最低控制线要高出几分至几十分不等。如果再细分，还有“志愿级差”和“专业级差”两种，有的高校在录取第一志愿专业和非第一志愿专业中，也采用不同的录取分数线。</p>
<p>　　通俗解释： 所谓的级差，就是分数级差，而分数级差一般还可以分为学校志愿分级差和专业志愿分级差。</p>
<p>　　学校志愿分级差是指录取非第一院校志愿考生时的分数差额。例如，某高校规定的学校志愿分级差为20分，第一志愿调档分数线为600分，那么，第二志愿的调档分数线就为620分。第一志愿生源充足而且规定了志愿级差的院校，省招办按投档比例投完第一志愿考生档案，再按院校提出的志愿级差，将第二志愿且分数在级差之上的考生档案投放给学校，由学校审核录取。</p>
<p>　　另外，部分高校在分配专业时也规定了专业志愿分级差，是指录取非第一专业考生时的分数差额。例如，某一学校规定专业级差为5分，学校在分配专业时，将第二专业志愿的考生成绩减去5分后，和第一专业志愿的考生一起排序确定专业。</p>
<p>　　而没有规定专业志愿分级差的学校，在分配专业时，有的采取志愿优先的原则，即首先满足第一专业志愿考生，有的采用分数优先的原则，也就是优先录取分数高的考生。</p>
<p>　　<strong>志愿级差</strong></p>
<p>　　志愿级差（分数级差值）是指在高校第一志愿生源充足的前提下，提取非第一志愿（第二志愿）考生档案时，要求其分数高于第一志愿考生提档线的分数差值。 省高招办仍按规定的投档方式即1：1.2的比例，将第一志愿考生档案投给录取院校，实行分数级差的院校在录取过程中，如何提取符合其分数级差值的第二志愿考生档案，由院校自行决定，遗留问题也由录取院校负责解决。高校生源不足和考生志愿服从调剂的录取不实行分数级差。</p>
<p>　　<strong>专业(志愿)级差</strong></p>
<p>　　各专业志愿之间设有专业志愿级差，专业级差为5分、3分、2分、1分，即第一和第二志愿间志愿差为5分，第二和第三志愿间志愿差为3分……，调剂志愿不设专业级差。考生在填报专业志愿时要了解近几年来学校各招生专业的平均分和分数档次，然后根据自己的兴趣和实力将所报专业顺序进行合理排列。</p></div>
            "
分数线,提档分数线,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<p>　　在同批录取的院校中，由于第一志愿报考人数不均衡，按照各院校招生计划、调档比例和考生成绩，各校的最低提档分数并不一样，这就自然地形成了院校的提档分数线。   </p>
<p>　　<strong>概述</strong></p>
<p>　　他们的共同特点一般是在同批录取控制分数线以上，而其不同特点是部分院校由于生源充足，其提档分数线高于同批控制分数线，有的院校由于生源不足，提档分数线就只好定到同批录取控制分数线，还有部分院校（专业）提档分数线低于同批录取控制分数线。因此，有的考生高考成绩虽然上了同批录取控制分数线，但由于未达到所报院校的提档分数线，电子档案不能投放，因而参加不了该校的录取，但也有部分学校由于生源不足，而低于某批控制分数线却被录取，就是由于降分的缘故。</p>
<p>　　<strong>大学提档分数线的确定</strong></p>
<p>　　提档分数线是将某省报考某大学的所有人按照高考分从高到低降序排列，再根据该高校的提档比例（通常为100%——150%），有生招生主管部门向高校提供相应数目的考生档案。则最后一名的分数即为提档分数线，由于高校提档后会存在退档的现象，因此通常提档分数线要比正式录取分数线略低。</p>
<p>　　如：2017年A大学在a省招生计划为10人，且A大学在a省提档比例为120%，则a省招生部门向A大学投出12个（10*120%=12）考生档案，且第十二个考生的分数即为A大学2017年在a省的提档分数线。</p>
</div></div>
            "
分数线,军检资格线,"<div class=""TRS_Editor""><p>　　<strong>军检资格线 </strong></p>
<p>　　军检资格线是作为军事学院录取的首要条件，所有报考的军事学院的考生必须通过军检线以后才可以进行体检、报考、面试等章程。</p>
<p>　　<strong>军检资格线定义： </strong></p>
<p>　　军事院校的体检线。线上考生可以参加军检、面试，报考提前批军事、公安院校。多年来一直与普通本科分数线相当，因此可以视为本科二批分数线，但有些军校的录取分较高，会在第一批录取分数线（重点线）附近上下浮动，幅度不太大。</p></div>
            "
分数线,线差 ,"<div class=""TRS_Editor""><p align=""justify"">　　线差分为考生考分线差与高校录取分线差。</p>
<p align=""justify"">　　考生考分线差是指考生的考分或预估分与考生所在省市的批次控制分数线的差值，即考生分数比批次控制分数线高多少分。</p>
<p align=""justify"">　　高校录取分线差是指高校在某个省市某批次的录取分数线与该省市的批次控制分数线的差值，即高校录取分比批次控制分数线高多少分。</p>
<p align=""justify"">　　线差的作用主要用于对招生院校的录取分数进行分析和比较，尤其是对不同年度的录取分数进行分析和比较，因为很多院校在不同年度的录取分经常会发生很大变化，但其录取线差一般波动不会太大。</p></div>
            "
分数线,最低分数线,"<div class=""TRS_Editor""><p>　　最低录取控制分数线是指省级招生部门根据当地全体考生当年高考成绩水平和国家下达的招生生源计划，相应确定的一个录取新生的最低成绩（总分）标准。</p>
<p>　　只有高考总分（艺术、体育考生含专业成绩）达到或超过这一分数线的考生（通常称“上线考生”）档案，才有资格被招生高校调阅并选择录取。</p>
<p>　　最低录取控制分数线一般是分专业类、分批次确定的。专业类一般分为文史、理工，以及音乐（文、理）、美术（文、理）、体育（文、理）等等，每一专业类又各分为本科提前批、本科一批、本科二批等等。文史、理工各批次的最低录取控制分数线只对文化总分作出规定，音乐、美术、体育专业的最低录取控制分数线则同时针对文化与专业两方面的总分作出规定。</p></div>
            "
分数线,专业平均分,"<div class=""TRS_Editor"">　　专业平均分又叫专业录取平均分，是指在高考招生录取中，某个大学某个专业录取某个省市考生的平均分，一般的计算方法是，将当年该专业录取的某个省的所有考生成绩加和，除以该专业录取的该省考生人数，得到的就是这个专业当年的录取平均分。<br>
　　专业平均分是考生填报高考志愿过程中的重要参考依据之一，与专业最低分，专业最高分一起，成为高考填报志愿的重要参考。从实际操作上来讲，是比专业最低分，专业最高分更合理的一条参考标准。</div>
            "
志愿填报,各类志愿,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<p align=""justify"">　　志愿是指考生的志向和意愿；院校志愿是考生对高等院校志向的选择；专业志愿是考生根据自己的兴趣爱好、性格特点、发展潜能对院校中某一个或几个专业意愿所作出的选择。</p>
<p align=""justify"">　　院校志愿和专业志愿统称为高考志愿，两者是一个有机联系、相互作用统一体，它完整地表达了考生希望就读的院校和专业意向，在某种程度上决定了考生未来发展方向就业前景。</p>
<p align=""justify"">　　无效志愿就是对考生投档录取没有意义或无用的志愿，它有两种情况：一是由于考生笔误或填错或涂错院校代码，电脑无法按考生的原本意思显示或运行（在实际志愿填报时系统会报错而无法提交）；二是在同一批次院校志愿之间没有形成梯度或反向梯度关系，如果考生第一志愿没有被录取，其后的各个志愿都不会被录取。</p>
</div></div>
            "
志愿填报,征集志愿,"<div class=""TRS_Editor""><p align=""justify"">　　所谓“征集志愿”就是在某一批次正常录取结束之后，某些大学按公布的招生计划还未录取满额，省级招生部门通过各种渠道向考生公布，并组织成绩上了该批次省控线未被录取的考生按照缺额计划，再次填报本批院校的志愿，从而提高考生录取机会，以协助高校完成招生计划。特别是实行平行志愿后，其投档方式采取一次性投档，而对其未完成的招生计划的高校，普遍采取“征集志愿”。</p>
</div>
            "
志愿填报,平行志愿,"<div class=""TRS_Editor""><p>　　平行志愿投档录取模式是高考志愿的一种新方式，实行平行志愿投档录取模式，可以有效降低考生志愿填报风险。</p>
<p>　　平行志愿即在普通类院校各录取批次分别设置一个平行院校志愿和一个征求平行院校志愿。提前录取批次和本科各批次的平行院校志愿均包含A、B、C三所院校或ABCDE五所院校，也有为ABCDEFGHIJ十所院校（2016年河北省本科二批和三批合并报名，新的本科二批报名院校为十所），专科各批次平行院校志愿均包含A、B、C、D、E五所院校。每所院校志愿中含有六个专业志愿和一个专业服从调剂志愿。</p>
<p>　　在每批次平行院校志愿录取结束后，省招办将及时公布未完成招生计划的院校、专业及人数，未被录取的考生须按省招办规定的时间，自行前往市、县（市、区）招办规定的地点填报征求平行院校志愿。征求平行院校志愿包含A、B、C三所院校志愿和一个院校服从志愿。体育、艺术类各批次暂不设置平行院校志愿，每批次设置第一至第四院校志愿和院校服从志愿(注：河北省体育艺术本科提前批、本科一批批，专科提前批、专科批不设平行志愿，本科三批设置平行志愿），并按志愿顺序依次投档。</p>
<p>　　普通类平行院校志愿的投档原则是“分数优先，遵循志愿”。在投档时按考生四门科目总分从高分到低分排序并逐个投档，在依次检索考生所填A、B、C或A、B、C、D、E志愿时，只要被检索的三所或五所院校中一经出现符合投档条件的院校，即向该院校投档，该生即享受了该批次平行院校志愿投档机会，由高校决定其录取与否及所录取专业。平行志愿投档时，根据有关高校提出的调档比例，按照投档原则进行投档。对六门科目总分相同的考生，按其语、数、外三门科目分数之和从高分到低分排序并投档，如上述三门科目总分仍相同，则对这部分同分考生按其志愿（按从A至C或从A至E的顺序）全部投档，由高校决定其录取与否及所录取专业。对实行自主选拔录取高校确定的自主选拔录取考生，且其A志愿填报该高校，则按其A志愿投档。对高水平运动员、艺术特长生、单科优秀学生等符合投档条件的考生，分别按有关政策，并依照考生所报志愿，进行补充投档，由高校决定其录取与否及所录取专业。其中，对单科优秀考生，按其所填报平行志愿中的最后一所院校志愿投档。</p>
<p>　　在高校录取结束后，省招办将通过市、县（市、区）招办及时向考生、社会提供考生录取状态和未完成招生计划的院校、专业及招生人数等信息查询。未被录取的考生须按省招办规定的时间，自行前往市、县（市、区）招办规定的地点填报征求平行院校志愿（含院校服从调剂志愿）。</p>
<p>　　省招办对填报征求平行志愿（含院校服从调剂志愿）的考生按投档原则再次进行投档，由高校决定其录取与否及所录取专业。如考生不按规定的时间和地点填报平行院校志愿及征求平行院校志愿，则视为其自愿放弃该志愿填报机会。如考生不按当地招办规定的程序对本人所填报的志愿信息进行签名确认，而对考生本人录取产生的不利影响，由考生本人负责。</p>
<p>　　<strong>优势</strong></p>
<p>　　<strong>顺序志愿</strong></p>
<p>　　过去，每批次设置4个院校志愿和1个服从志愿。投档时，第一步：省招办根据考生志愿分学校排序，比如在本科第一批院校录取时，同时将所有第一志愿填报南京大学的考生排序，将所有填报东南大学的考生排序……第二步：再从高分往低分顺序向学校投档。第一志愿录取结束后，再将未录取考生按其所填的第二志愿院校分别排序，然后从高分往低分投档……以此类推。由于每批次考生只能选择一个第一志愿，其他志愿录取率相对较低，考生如果第一志愿报考的学校不能录取，所填第二、第三或其他志愿院校已录满，那么该考生就只能降低到下一个批次中录取，个别考生甚至因此落榜。所以，怎样选择第一志愿一直是考生和家长十分头疼的问题。</p>
<p>　　<strong>平行志愿</strong></p>
<p>　　实行平行志愿后，每批考生可同时选择A、B、C 3个或A、B、C、D、E 5个学校（2013年，山东省考生可一次填报6个院校），录取投档时，“分数优先，遵循志愿”。第一步：按考生成绩从高到低顺序排序，比如最高分是700分，则先投700分的考生，再投699分的考生，再投698分的考生……以此类推。第二步：每个考生投档时，按志愿中先A学校，再B学校，再C学校的顺序检索，如考分够A学校，就投档到A学校，如不够，则看B学校，以此类推……这样就相当于考生一次选择了3个或5个第一志愿，扩大了考生选择范围。对未被平行院校志愿录取的考生，还可以再参加征求平行志愿的填报，使考生拥有了更多的录取机会，在一定程度上降低了考生填报志愿的风险。</p></div>
            "
志愿填报,服从志愿,"<div class=""TRS_Editor""><p>　　服从志愿是指在高考填报志愿过程中，考生在每个批次填报之后的附加志愿，主要有批次服从和专业服从两个方面；批次服从又叫院校服从，简单来讲，就是如果自己的高考成绩不能达到自己填报的大学，就可以调剂到同一批次其他大学；从而增加自己被录取的可能性；自教育部推出平行志愿录取后，部分省市已经取消服从志愿。 </p>
<p>　　专业服从是指如果考生被录取到自己填报的大学，但是没有被自己填报的专业录取，如果服从专业调剂的话，学校会把这类考生调剂到本校其他专业，这叫专业调剂。如果不服从专业调剂，则学校会退档，学生则落榜，因此建议考生在填报志愿的时候，尤其是专业部分，最好填报服从志愿。</p></div>
            "
志愿填报,复征志愿,"<div class=""TRS_Editor""><p>　　复征志愿是指大学在高考第一轮录取工作结束后，某些大学未完成当年的录取招生指标。对达到了录取分数线而未被大学录取的考生提供的第二次补填志愿的机会，此次志愿成为征集志愿。</p>
<p>　　<strong>简介</strong></p>
<p>　　一般在高校的第一轮录取工作结束后进行。</p></div>
            "
志愿填报,院校服从,"<div class=""TRS_Editor""><p>　　高考的时候，假如考生报的学校都没有录上，那么招办就会给一个同批次的未招满计划的学校，但是其中任何专业你都要接受，选上院校服从会让考生的录取机会就大大增加。如不服从，又没有被你所填志愿学校提档，将被刷到下一个批次的院校，参加下一批次院校的投档。</p>
<p>　　服从志愿包括专业服从和院校服从两类。填写专业服从，表示无条件服从该校批次该类别所有的专业。在普通类、艺术类和体育类的每所院校志愿中，均有一个专业服从志愿。考生在""是否服从其它专业""栏填报""服从""，则表示愿意无条件服从该院校该批次该类别的所有专业。填写院校服从志愿，表示考生愿意无条件服从该批次该类别所有的院校和专业。在各批次征求平行志愿中，均包含有""是否服从其他院校""栏。</p>
<p>　　学校服从只在每个批次进行，也就是说，重点批次的学校服从，只调剂到重点批次院校，具体来讲，举个例子，比如说我报了3个重点大学的志愿，虽然说我也过了重点线，但是我的高考成绩没有达到这些学校的投档线，因此不能被我所报考的这三所大学录取，如果这个时候，用户填报了学校服从志愿，那么在重点批次里，有一些学校的投档线低，用户的分数刚好达到，而且，这些录取分数低的重点批次大学在当年招生不足，就产生了缺额，这个时候，这些上了重点线的考生就可以调剂到这些重点大学里面，从而增加了被录取的几率。</p>
<p>　　当然，学校调剂也有不足的地方，那就是，有可能调剂到你不喜欢的大学，或者你觉得比较差的重点大学，学校调剂在重点批次，二本，三本，高职大专里面都有，有些只到三本，但是，学校调剂是在同一个批次中进行的，也就是说，重点大学的学校调剂，就调剂到重点大学，不会把你调剂到二本去的。</p></div>
            "
志愿填报,降分投档,"<div class=""TRS_Editor""><p>　　根据教育部的规定：“有下列情形之一的考生，由省级招生委员会决定，可在高等学校调档分数线下适当降低分数要求投档，由学校审查决定是否录取。同一考生如符合多项降低分数要求投档条件的，只能取其中降低分数要求幅度最大的一项分值，且不得超过20分。</p>
<p>　　<strong>适用人群</strong></p>
<p>　　（1）边疆、山区、牧区、少数民族聚居地区的少数民族考生；</p>
<p>　　（2）归侨、华侨子女、归侨子女和台湾省籍考生；</p>
<p>　　（3）烈士子女。</p></div>
            "
志愿填报,高招档案,"<div class=""TRS_Editor""><p>　　<strong>定义</strong>  </p>
<p>　　参加高考的考生在考试前所要填充的关于个人信息的资料，也可能包括一些协议，例如高考诚信协议（一项促进考生文明守纪的协议书）。</p>
<p>　　<strong>内容 </strong></p>
<p>　　一般包括个人基本信息，如籍贯，出生日期，民族等等。</p>
<p>　　个人的主要经历：如小学、中学的地址，证明人。</p>
<p>　　个人的记录：如是否有不良记录。</p></div>
            "
志愿填报,调档比例,"<div class=""TRS_Editor""><p align=""justify"">　　是指某一院校调阅考生电子档案数与计划招生数的比例，在实行平等志愿的省份中，一般在105%-110%之间，并在各院校的《招生简章》予以公布。</p>
<p> </p>
<p> </p></div>
            "
志愿填报,梯度,"<div class=""TRS_Editor""><div class=""Custom_UnionStyle"">
<p align=""justify"">　　就是生活中常说的楼梯的台阶，有些楼梯两个台阶之间的高度差比较大，我们就说其梯度大；反之就其梯度小。在志愿填报中的梯度只表示两个或几个院校之间录取线差值的大小。</p>
<p align=""justify"">　　考生地选报志愿时要注意使院校与专业之间形成合理的梯度，以免造成滑档、进档退档或死档的风险。</p>
</div></div>
            "
志愿填报,志愿优先,"<div class=""TRS_Editor""><p align=""justify"">　　所谓志愿优先就是在报考该院校的考生中，首先考虑的是考生的专业志愿，也就是说先考虑第一专业志愿，再考虑第二专业志愿，依次类推。也叫“专业志愿清”。</p>
<p align=""justify"">　　比如一个考生未能达到第一专业志愿最低录取分数，将转入下面的专业志愿顺序，依次类推。如该专业前面已录满，不管该生分数多高，也不能进入该专业了。</p></div>
            "
志愿填报,分数优先,"<div class=""TRS_Editor""><p align=""justify"">　　所谓分数优先就是投档到该校的所有学生，从高分的学生开始依次按专业进行投档，也就是说，分数高的学生优先按专业顺序进行投档。也叫“分数清”。</p></div>
            "
志愿填报,大小年现象,"<div class=""TRS_Editor""><p align=""justify"">　　是某些院校在历年招生录取中，报考人数(批次最低控制线上)很不稳定、起伏较大，引起该校录取线较大幅度波动的趋势。</p></div>
            "
