类别,百科名,百科内容
院校相关词条,独立院校,"<div class=""baikeArticle"">
							<p>　　近年来，随着我国高等教育规模的快速增长，由普通高等学校按照新的机制和新模式创办了一种新型的二级学院。 <br></p><p>　　2003年，教育部下发8号文件对独立二级学院的性质和办学定位、办学模式及相关政策做出了明确规定。 <br></p><p>　　独立学院，是专指由普通本科高校按照新机制、新模式举办的本科层次的二级学院。独立学院的创办和发展对我国高等教育的持续、健康发展具有重大的意义，教育部对独立学院的建设和发展原则是""积极支持、规范管理""。 <br></p><p>　　独立学院的设立由国家教育部审批，招生计划由所在地省级人民政府统一安排，按国家普通高校三类本科招生。独立学院的办学水平、教育质量和办学行为要按照《高等教育法》和国家有关规定，接受教育部及省级教育行政部门的监督和由其组织的评估。</p><p>　　独立学院是由普通本科高校(申请者)与社会力量(合作者，包括企业、事业单位，社会团体或个人和其他有合作能力的机构)合作举办的进行本科层次教育的高等教育机构。国家规定，申请者要对独立学院的教学和管理负责，并保证办学质量;合作者要负责提供独立学院办学所需的各项条件和设施，参与学院的管理、监督和领导。</p><p>　　独立学院应具有独立法人资格，独立的校园校舍，独立进行教学和财产管理、招生和颁发毕业证书。由于独立学院属于本科层次，所以由教育部负责审批。凡未经教育部审批的，国家均不承认其学历。</p>
							</div>"
院校相关词条,军事院校名单,"<div class=""baikeArticle"">
							<p>当代军事院校简介</p><p>　　国防大学，全军最高学府，负责培训军队高级干部和为军队培养研究生。位于北京市。只有现役军官才可以报考！</p><p>　　国防科学技术大学，前身为著名的""哈尔滨军事工程学院""，是解放军未来科学家、技术专家和新型指挥军官的摇篮。位于湖南省长沙市。</p><p>　　解放军理工大学，担负着培养高素质新型军事指挥和工程技术人才的重任。是国家和军队进行科学研究、技术创新和装备研制的重要基地。位于江苏省南京市白下区。</p><p>　　解放军信息工程大学，主要培养高、中级工程技术人才和指挥、管理干部的全国重点理工科高等军事院校。位于河南省郑州市。</p><p>　　后勤工程学院，主要培养后勤专业技术人才。位于重庆市大坪长江二路。</p><p>　　解放军汽车管理学院，为全军汽车部队培养汽车运输指挥和管理军官，隶属于总后勤部。位于安徽省蚌埠市。</p><p>　　解放军外国语学院，担负着为全军培养外语人才、军队院校汉语师资和外军留学生汉语培训等任务。位于河南省洛阳市。</p><p>　　军事交通学院，是全军唯一培养军事交通运输和军用车辆装备领域高层次人才的学院，隶属总后勤部。位于天津市河东区。</p><p>　　军事经济学院，是培养我军后勤建设人才的高等军事学府，隶属总后勤部。位于湖北省武汉市罗家墩122号。</p><p>　　解放军国际关系学院，主要任务是为全军培养国际战略研究、军事外交、国际外事等专业干部，是我军军事外交和外语专业人才的培训基地。位于江苏省南京市。</p><p>　　解放军西安政治学院，是总政治部直属的中级指挥学院，担负着为全军政治机关、军法机关干部的培训任务。位于陕西省西安市朱雀大街146号。</p><p>　　军械工程学院，全军唯一培养高、中级军械装备技术保障和理论研究专门人才的院校。位于河北省石家庄市和平西路97号。</p><p>　　解放军电子工程学院，担负着为全军培养高素质新型信息作战和工程技术人才的任务。 位于安徽省合肥市。</p><p>　　装备指挥技术学院，主要任务是培养全军武器装备指挥管理人才，隶属总装备部。位于北京市怀柔。</p><p>　　解放军艺术学院，隶属总政治部。是全军唯一的综合性艺术院校，担负培养全军文艺创作、表演人才和部队文化管理干部，开展军事文学研究等任务。位于北京市海淀区中关村南大街18号。</p><p>　　解放军体育学院，直属总参谋部。1999年6月八一军体大队并入学院。为全军培养体育人才和部队体育管理干部。位于广东省广州市禺东西路38号。</p><p>　　石家庄陆军指挥学院，前身为著名的石家庄高级步校。担负培养陆军（含空降）师以下机关的各类参谋、院校军事教员、教学管理干部和全军电教干部的任务。位于河北省石家庄市。</p><p>　　陆军航空兵学院，主要任务是培养陆军航空兵中级政治指挥人才，陆、空军直升机飞行员和陆军航空工程机务干部。位于北京市通州区。</p><p>　　解放军镇江船艇学院，是全军唯一培养陆军船艇军官的专业院校，前身是上海公安学校的海上巡逻系。位于江苏省镇江市。</p><p>　　海军工程大学，是一所技术与指挥、工程与管理相结合，多学科、多层次、综合型、高水平的军事工程技术学院。位于湖北省武汉市汉口解放大道717号。</p><p>　　21，海军兵种指挥学院，专门培养海军水面舰艇舰长、艇长和司令部参谋。位于广东省广州市。</p><p>　　海军后勤学院，培养海军后勤初级指挥、技术、管理军官的高等院校。位于天津市塘沽区。</p><p>　　大连舰艇学院，是新中国第一所正规海军高等学府。承担海军军士长干部学历教育和舰艇指挥、基层政治工作、海道测量、海图制图、海洋水文、作战指控与电子对抗等50余个专业培训任务。位于辽宁省大连市中山区解放路667号。</p><p>　　海军潜艇学院，培养海军潜艇和防救部队初、中级军事指挥、工程技术军官的重点军事院校。位于山东省青岛市。</p><p>　　海军航空工程学院，培养海军初级指挥军官、航空航天工程技术军官为主的高等军事院校。位于山东省烟台市二马路188号。</p><p>　　空军工程大学，担负着为空军培养航空工程、地空导弹、电子信息等领域高层次工程技术人才、指挥军官及培训留学生任务。位于陕西省西安市长乐东路甲字1号。</p><p>　　空军航空大学，是专门培养军事飞行军官的高等学院。位于吉林省长春市。</p><p>　　空军第一航空学院，担负培养航空工程技术和管理干部的任务。位于河南省信阳市。</p><p>　　空军第二飞行学院，担负培养具有轰炸机飞行加强技术，初步具备航空兵部队指挥、管理能力的初级指挥干部的任务。位于四川省夹江市。</p><p>　　空军雷达学院，为空、海军雷达部队培养中、初级军事指挥军官和工程技术人才的综合性高等学院。位于湖北省武汉市。</p><p>　　空军后勤学院，培养空军后勤高、中级专门人才。位于江苏省徐州市。</p><p>　　桂林空军学院，培养空军初级指挥军官和工程技术人员，为全空军培训政治指导员的综合性军事院校。位于广西桂林市凯风路90号。</p><p>　　第二炮兵指挥学院，为二炮部队培养指挥军官和高层次专门人才的中级指挥院校。位于湖北省武汉市江岸区。</p><p>　　第二炮兵工程学院，是我国唯一的培养战略导弹部队技术指挥军官及各类专门人才的高等工程技术学院。位于陕西省西安市东郊洪庆。</p><p>　　炮兵指挥学院，肩负培养全军炮兵中级军政指挥军官、军事学研究生、外国留学生以及陆军导弹专业军官等任务。位于河北省廊坊市爱民西道136号。</p><p>　　炮兵学院，是一所培养基层指挥干部的初级指挥院校。位于安徽省合肥市黄山路451号。</p><p>　　沈阳炮兵学院，是一所炮兵初级指挥学院。位于辽宁省沈阳市东凌区东大营街。</p><p>　　装甲兵工程学院，前身是哈军工装甲兵工程系。培养装甲机械化部队工程技术军官和指挥军官的最高学府。位于北京市丰台区西郊卢沟桥畔。</p><p>　　蚌埠坦克学院，为全军装甲兵部队培养初级指挥军官的军事院校。位于安徽省蚌埠市。</p><p>　　重庆通信学院，为全军培养初级通信指挥、通信技术军官的任务。位于重庆市沙坪坝林园甲一号。</p><p>　　西安通信学院，为全军培养初级通信指挥、通信技术军官的任务。位于陕西省西安市王曲镇。</p><p>　　通信指挥学院，是培养通信指挥干部的军事指挥院校。位于湖北省武汉市汉口解放公园路43号。</p><p>　　防化工程指挥学院，是为全军培养中级防化指挥军官，中、高级防化专业技术军官和全国人防防化干部的综合性军事院校。位于北京市昌平阳坊。</p><p>　　郑州防空兵学院，是全军陆军唯一的防空兵指挥学院，隶属总参谋部。 担负着为陆、海军防空部队培养初级指挥军官，为地方培养高素质的机电、英语、计算机专业人才以及为外军培养军事留学生的任务。位于河南省郑州市建设东路24号。</p><p>　　第二军医大学，为全军培养军医人才，隶属总后勤部。位于上海市杨浦区翔殷路800号。</p><p>　　第三军医大学，为全军培养军医人才，隶属总后勤部。位于重庆市高滩岩。</p><p>　　第四军医大学，为全军培养军医人才，隶属总后勤部。位于陕西省西安市长乐西路17号。</p><p>　　北京军医学院，为全军培养军医人才，隶属总后勤部。位于北京市丰台东大街8号。</p><p>　　白求恩军医学院，是培养初、中级卫生专业技术干部的医务院校。 位于河北省石家庄市。</p><p>　　中国人民武装警察，部队学院是我国公安现役部队的最高学府。边防、消防、警卫专业为国内独有，还承担师以上干部的培训任务，是我国国际维和民事警察和警务联络官培训基地及学术交流中心。位于河北省廊坊市。</p><p>　　装甲兵技术学院是全军装甲机械化部队培养装甲装备技术保障人才的高等专业技术院校。位于长春市经济技术开发区。</p>
							</div>"
院校相关词条,211工程院校名单,"<div class=""baikeArticle"">
							<p>　　所在省市 院校名称</p><p>　　北京市   （26所）清华大学、北京大学、中国人民大学、北京交通大学、北京工业大学、北京航空航天大学、北京理工大学、北京师范大学、北京科技大学、北京化工大学、北京邮电大学、中国农业大学、北京林业大学、中国传媒大学、中央民族大学、对外经济贸易大学、北京中医药大学、北京外国语大学、中央音乐学院、中国政法大学、中国石油大学（北京）、中国地质大学（北京）、中国矿业大学（北京）、中央财经大学、华北电力大学（北京）、北京体育大学 。</p><p>　　上海市（9所） 上海交通大学（与上海第二医科大学合并）、复旦大学、华东师范大学、上海外国语大学、东华大学、上海财经大学、复旦大学医学院、同济大学、华东理工大学。</p><p>　　天津市（3所） 南开大学、天津大学、天津医科大学</p><p>　　重庆市（1所） 重庆大学</p><p>　　河北省（2所） 河北工业大学 、华北电力大学（保定）</p><p>　　山西省（1所） 太原理工大学</p><p>　　内蒙古自治区  （1所） 内蒙古大学</p><p>　　辽宁省（4所） 大连理工大学、东北大学、辽宁大学、大连海事大学</p><p>　　吉林省（3所） 吉林大学、东北师范大学、延边大学</p><p>　　黑龙江省  （4所） 哈尔滨工业大学、哈尔滨工程大学、东北农业大学、东北林业大学</p><p>　　浙江省（1所） 浙江大学</p><p>　　江苏省  （11所） 南京大学、东南大学、苏州大学、南京师范大学、中国矿业大学、中国药科大学、河海大学、南京航空航天大学、江南大学、南京农业大学、南京理工大学</p><p>　　安徽省（3所） 中国科学技术大学、安徽大学、合肥工业大学</p><p>　　福建省（2所） 厦门大学、福州大学</p><p>　　江西省（1所） 南昌大学</p><p>　　山东（3所） 山东大学、中国海洋大学、石油大学</p><p>　　河南（1所） 郑州大学</p><p>　　湖北（7所） 武汉大学、华中科技大学、中国地质大学、武汉理工大学、华中师范大学、华中农业大学、中南财经政法大学</p><p>　　湖南（3所） 湖南大学、中南大学、湖南师范大学</p><p>　　广东（4所） 中山大学、暨南大学、华南理工大学、华南师范大学</p><p>　　广西（1所） 广西大学</p><p>　　四川（5所） 四川大学、西南交通大学、电子科技大学、四川农业大学、西南财经大学</p><p>　　云南（1所） 云南大学</p><p>　　贵州（1所） 贵州大学</p><p>　　陕西（7所） 西北大学、西安交通大学、西北工业大学、西安电子科技大学、长安大学、 西北农业科技大学、陕西师范大学</p><p>　　甘肃（1所） 兰州大学</p><p>　　海南（1所） 海南大学</p><p>　　青海（1所） 青海大学</p><p>　　宁夏（1所） 宁夏大学</p><p>　　新疆（2所） 新疆大学、石河子大学</p><p>　　西藏（1所） 西藏大学</p><p>　　军事系统（3所） 第二军医大学、第四军医大学、国防科技大学</p>
							</div>"
院校相关词条,高等学校学科创新引智计划（111计划）,"<div class=""baikeArticle"">
							<p>　　为在我国高等学校中建设一批世界一流大学，推进高等学校人才强校战略的实施，引导高等学校瞄准国际前沿，围绕国家重点科研领域和重点学科发展方向，依托高等学校具有国际前沿水平或国家重点发展的创新领域的研究基地，引进、汇聚和培养一批具有国际领先水平的学术带头人及一批具有创新能力的优秀学术骨干，形成优秀创新团队，带动高等学校教师队伍整体素质和科技创新能力的提高，促进我国前沿学科和新兴学科的发展，提升我国高校在世界范围的学术地位和竞争实力，提高我国的科技创新水平，教育部、国家外国专家局联合实施的高等学校学科创新引智计划(简称111计划)。</p>
							</div>"
院校相关词条,211工程,"<div class=""baikeArticle"">
							<p>　　1993年2月13日中共中央、国务院印发的《中国教育改革和发展纲要》及国务院《关于&lt;中国教育改革和发展纲要&gt;的实施意见》中，关于211工程的主要精神是：为了迎接世界新技术革命的挑战，面向21世纪，要集中中央和地方各方面的力量，分期分批地重点建设100所左右的高等学校和一批重点学科、专业，使其到2000年左右在教育质量、科学研究、管理水平及办学效益等方面有较大提高，在教育改革方面有明显进展，力争在21世纪初有一批高等学校和学科、专业接近或达到国际一流大学的水平、并可概括表述为：211工程就是面向21世纪，重点建设100所左右的高等学校和一批重点学科点。</p>
							</div>"
院校相关词条,最易混淆的大学校名,"<div class=""baikeArticle"">
							<p>　　北京师范大学VS首都师范大学。</p><p>　　前者是教育部隶属的一所拥有百年历史的高等学府，其前身创办于1902年的京师大学堂。后者是原北京市市属的北京师范学院改名的，地址是在西三环花园村。</p><p>　　首都经济贸易大学VS对外经济贸易大学。</p><p>　　前者是由原北京经济学院和原北京财贸学院于1995年合并、组建的北京市属重点大学。后者是教育部直属的国家211工程，首批重点建设高校。</p><p>　　北方工业大学VS北京工业大学。</p><p>　　前者是北京冶金机电学院升格的，是二类本科，在外地名声非常大，录取的学生基本都是重点大学分数，地处北京石景山区;后者是211工程院校。两校都是北京市属院校。</p><p>　　中国医科大学VS中国药科大学。</p><p>　　前者是位于辽宁沈阳的一所省属普通高等院校;后者是教育部直属、国家211工程重点建设大学，位于江苏南京。两校都属于一类本科。</p><p>　　广西师范大学VS广西师范学院。</p><p>　　前者是区属重点大学，位于桂林市;后者是区属普通本科院校，位于南宁市。湖南科技大学VS湖南科技学院。前者是由原湘潭工学院、湘潭师范学院合并而来，后者是原零陵学院。</p><p>　　河南科技大学VS河南科技学院。</p><p>　　前者是由原洛阳工学院、洛阳医学高等专科学校、洛阳农业高等专科合并组建而成，是河南重点建设的综合性大学之一;后者是河南职业技术师范学院升格的，是以农科为特色的普通高校，位于河南新乡。</p><p>　　电子科技大学VS西安电子科技大学。</p><p>　　前者是由成都电讯工程学院演变而来，简称电子科大，在成都;后者的前身是西北电讯工程学院，在西安。两校都属于一类本科院校。</p>
							</div>"
院校相关词条,985工程院校名单,"<div class=""baikeArticle"">
							<p>　　所在省市 院校名称 <br></p><p>　　北京市（8）北京大学、清华大学、北京师范大学、中国人民大学、北京理工大学、北京航空航天大学、中国农业大学、中央民族大学</p><p>　　上海市（4）复旦大学、上海交通大学、同济大学、华东师范大学</p><p>　　天津市（2）南开大学、天津大学</p><p>　　重庆市（1）重庆大学</p><p>　　浙江省（1）浙江大学</p><p>　　江苏省（2） 南京大学、东南大学</p><p>　　辽宁省（2） 东北大学、大连理工大学</p><p>　　湖南省（3） 中南大学、国防科技大学、湖南大学</p><p>　　四川省（2） 四川大学、电子科技大学</p><p>　　吉林省（1） 吉林大学</p><p>　　福建省（1） 厦门大学</p><p>　　山东省（2） 山东大学、中国海洋大学</p><p>　　湖北省（2） 武汉大学、华中科技大学</p><p>　　陕西省（3） 西北工业大学、西安交通大学、西北农林科技大学</p><p>　　广东省（2） 中山大学、华南理工大学</p><p>　　安徽省（1） 中国科技大学</p><p>　　甘肃省（1） 兰州大学</p><p>　　黑龙江（1） 哈尔滨工业大学</p>
							</div>"
院校相关词条,独立二级学院,"<div class=""baikeArticle"">
							<p>　　""独立二级学院""是指引进社会资金，由本科院校成立或帮助成立的独立核算、具有独立法人资格、独立校园校舍，进行独立教学管理并实施学历教育的学校。作为一种新型的办学模式，它是我国高等教育由精英教育向大众教育转变的必然产物。</p><p>　　原则上为本科，通过普通 招生，适当降低录取分数线，同时提高收费标准。""独立二级学院""由公办大学设立，以民办机制进行运作和管理，它依附于公办大学，又不完全等同于大学里的院系部，在待遇方面，""独立二级学院""的学生与其他普通本科院校的学生是相同的，另外""独立二级学院""是专业设置比较灵活，一般开设的都是新兴的、热门的应用型学科，在收费上，""独立二级学院""按照国家有关民办高校政策制定收取，一般比本部高校学生要高，所以建议考生填报时，一定要考虑家庭的经济承受能力。</p>
							</div>"
院校相关词条,﻿985工程,"<div class=""baikeArticle"">
							<p>　　1998年5月4日，江泽民总书记在庆祝北大建校100周年大会上向全社会宣告：为了实现现代化，我国要有若干所具有世界先进水平的一流大学。</p><p>　　为贯彻落实党中央科教兴国的战略和江泽民同志的号召，教育部决定在实施面向21世纪教育振兴行动计划中，重点支持北京大学、清华大学等部分高等学校创建世界一流大学和高水平大学，简称985工程。</p>
							</div>"
专业相关词条,最受女生欢迎的十大专业,"<div class=""baikeArticle"">
							<p>　　第一，商学专业：2008年，美国共有16万4276名女性获得商学专业学士学位，占当年 获得商学专业学士学位总数的49%，男性学生则占51%。一般而言，去美国留学商学院毕业生在管理、销售、咨询和金融领域就业市场广泛。</p><p>　　第二，健康专业和相关的临床科学专业：2008年，美国共有9万4192名女性获得健康专业和相关的临床科学专业学士学位，占当年获得此类专业学士学位总数的85.4%，男性学生则占14.6%，可见去美国留学在这类专业上，女性得天独厚。健康专业和相关的临床科学专业毕业生多从事护理、理疗师等工作。</p><p>　　第三，社会科学和历史专业：社会科学和历史专业能名列美国女大学生最喜欢专业的第三名，这多少有些令人意外，因为这些专业的就业市场和收入并不占优势，找工作也不强势。2008年，美国共有8万2495名女性获得社会科学和历史专业学士学位，占当年获得此类专业学士学位总数的49.3%，男性学生则占50.7%。社会科学和历史专业专业毕业生多从事中小学教师、销售和研究等工作。</p><p>　　第四，教育学专业：在美国的中小学中，女性教师的比例特别高，所以教育学是女性大学生最最着名的软专业。2008年，美国共有8万零754名女性获得教育学专业学士学位，占当年获得此类专业学士学位总数的78.7%，男性学生则占21.3%。教育学专业毕业生多从事中小学教师工作。</p><p>　　第五，心理学专业：人们常说女人心，海底针，意思是女人的内心深不可测、难以琢磨。但反过来这女人要琢磨别人的心就有点易如反掌的味道了，要不然心理学也不会成为去美国留学女大学生最喜欢的一个专业了。2008年，美国共有7万1385名女性获得心理学专业学士学位，占当年获得此类专业学士学位总数的77.1%，男性学生则占22.9%。心理学专业毕业生多从事咨询、中小学教师和销售等工作。</p><p>　　第六，视觉和表演艺术专业：女人天生会演戏，视觉和表演艺术专业也很受美国大学女生青睐。2008年，美国共有5万3841名女性获得视觉和表演艺术专业学士学位，占当年获得此类专业学士学位总数的61.4%，男性学生则占38.6%。视觉和表演艺术专业毕业生多从事中小学教师、设计、形象艺术、表演和娱乐等工作。</p><p>　　第七，信息和信息技术专业：2008年，美国共有5万零664名女性获得信息和信息技术专业学士学位，占当年获得此类专业学士学位总数的62.5%，男性学生则占37.5%。信息和信息技术专业毕业生多从事销售、公共关系和管理等工作。</p><p>　　第八，生物和生物医学科学专业：2008年，美国共有4万6217名女性获得生物和生物医学科学专业学士学位，占当 年获得此类专业学士学位总数的59.4%，男性学生则占40.6%。去美国留学生物和生物医学科学专业毕业生多从事研究、教学和医学技术等工作。</p><p>　　第九，英语语言和文学专业：2008年，美国共有3万7357名女性获得英语语言和文学专业学士学位，占当年获得此类专业学士学位总数的67.9%，男性学生则占32.1%。去美国留学英语语言和文学专业毕业生多从事中小学教师、写作、编辑和销售等工作。</p><p>　　第十，人文科学专业：2008年，美国共有3万1064名女性获得人文科学专业学士学位，占当年获得此类专业学士学位总数的66.2%，男性学生则占33.8%。人文科学专业毕业生多从事中小学教师、写作、编辑、管理和销售等工作。</p>
							</div>"
专业相关词条,各学科门类专业细分,"<div class=""baikeArticle"">
							<p>　　哲学：包括哲学类一个本科学科类，主要涉及哲学、逻辑学和宗教学三个专业。</p><p>　　经济学：包括经济学类四个本科学科类，包括经济学、国际经济与贸易、财政学和金融 学四个专业。</p><p>　　法学：包括法学类、马克思主义理论类、社会学类、政治学类、民族学类、公安学类六 个学科类。</p><p>　　教育学：包括教育学类、心理学类和体育学类三个学科类。</p><p>　　文学：包括中国语言文学类、外国语言文学类、新闻传播学类三个学科类。</p><p>　　历史学：包括历史学类一个学科类。</p><p>　　理学：包括数学类、物理学类、化学类、天文学类、地理科学类、海洋科学类、地球物理学类、地质学类、生物科学类、系统理论类、统计学类、力学类共计13个学科类。理学类专业以科学理论为主要的学习内容，涉及少量应用性专业课程。</p><p>　　工学：包括工程力学类、机械类、仪器仪表类、材料类、能源动力类、电气类、电子信息类、自动化类、计算机类 、土木类、水利类、测绘类、化工与制药类、地质类、矿业类、纺织类、轻工类、交通运输类、海洋工程类、航空航天类、武器类、核工程类、农业工程类、林业工程类、环境科学与工程类、生物医学工程类、食品工程类、建筑类、安全科学与工程类、生物工程类、公安技术类、交叉类等32个学科类。</p><p>　　农学：包括植物生产类、自然保护与环境生态类、动物生产类、动物医学类、林学类、水产类、草学类等7个学科类。</p><p>　　医学：包括基础医学类、临床医学类、口腔医学类、公共卫生与预防医学类、中医学类、中西医结合类、药学类、 中药学类、法医学类、医学技术类、护理学类等10个学科类。</p><p>　　管理学：包括管理科学与工程类、工商管理类、农业经济管理类、公共管理类、图书情报与档案管理类、物流管理与工程类、工业工程类、服务业管理类等8个学科类。</p><p>　　艺术学：包括艺术学理论类、音乐与舞蹈学类、戏剧与影视学类、美术学类、设计学类等5个学科类。</p>
							</div>"
专业相关词条,学科门类、专业类和专业之间的关系,"<div class=""baikeArticle"">
							<p>　　我国高等学校本科教育专业设置是按学科门类、专业类、专业三个层次来设置。即一个学科门类下面设置若干专业类，一个专业类下面设置若干专业。学科是是高校教学、科研等的基本功能单位，是对高校人才培养、教育教学、科学研究等隶属范围的相对界定。</p><p>　　新专业目录中把学科划分为12大门类：哲学、经济学、法学、教育学、文学、历史学、理学、工学、农学、医学、管理学、艺术学。不同的学科就是不同的科学知识体系。如经济学学科门类包含经济、财政、金融、贸易等领域的知识，工学学科门类包含机械、仪器、材料、电子、土建、地矿、化工、轻工纺织、航空航天、环境安全、食品科学等领域的知识。专业类是在同一学科知识体系下，根据知识面侧重的不同而分解出来的不同专业类别。</p><p>　　如理学分为数学类、物理学类、化学类、天文学类、地理科学类、大气科学类、海洋科学类、地球物理学类、地质学类、生物科学类、心理学类、统计学类。这些专业门类具有相同的理学特性，但相互之间又侧重不同的知识范畴。</p><p>　　专业比专业类更加具体，是在一个专业门类里派生出来的具体方向。在一个学科，可以组成若干专业。如土木类就包含土木工程、建筑环境与能源应用工程、给排水科学与工程、建筑电气与智能化四个专业。</p><p>　　在不同学科之间也可以组成跨学科专业。如过程装备与控制工程，横跨机械工程和化学工程两个学科。学科和专业的核心区别在于其构成和目标不同。学科的构成要包含研究的对象或研究的领域，即独特的、不可替代的研究对象;理论体系，即特有的概念、原理、命题、规律等所构成的严密的逻辑化的知识系统;方法论，即学科知识的生产方式。</p><p>　　专业的构成要素主要包括：专业培养目标、课程体系和专业人员。培养目标即专业活动的意义表达。课程体系是社会职业需要与学科知识体系相结合的产物，是专业活动的内容和结构。课程体系的合理设置与否、 质量高低、实施效果好坏直接影响人才培养目标的实现状况。学科发展的目标是知识的发现和创新。专业的目标是为社会培养各级各类专门人才。专业是学科承担人才培养职能的基地;学科是专业发展的基础。一所高校的人才培养质量如何，取决于其学科、专业水平的高低。</p>
							</div>"
专业相关词条,非通用语种,"<div class=""baikeArticle"">
							<p>　　非通用语种即为小语种。小语种是一种习惯的叫法，正式名为非通用语种。</p>
							</div>"
专业相关词条,小语种专业,"<div class=""baikeArticle"">
							<p>　　小语种，顾名思义就是相对英语这些应用面很广用者甚众的外语而言，只在少数国家应用的外语语种。对小语种的定义一般有两种。一种是指除联合国通用语种(英语、中文、法语、俄语、西班牙语、阿拉伯语)外的所有语种;而老百姓通常认为英语是通用语种，其它语种都是非通用语种，因此小语种的另一种定义就是指英语以外的其它语种。按第一种定义统计，目前中国各高校开设的小语种约有30种。</p>
							</div>"
专业相关词条,国家重点学科,"<div class=""baikeArticle"">
							<p>　　国家重点(培育)学科是国家重点学科的重要补充，为进一步促进高等学校的学科建设，建立一个全面适应创新型国家建设需要的高水平学科体系，教育部决定在国家重点学科评选的基础上，从申报学科中再择优确定一批水平较高的学科作为国家重点学科的培育对象，予以重点扶持。</p>
							</div>"
专业相关词条,国家特色专业,"<div class=""baikeArticle"">
							<p>　　特色专业一般是根据学校的传统和特点而设置的，教育部给的名额很多，因而入选数量很多，不能代表同类专业的最高水平，但相对其他没有这种特色的专业好的多。一般来说特色专业可能发展成重点学科，但要走的道路相当长，特别是申请到国家重点学科。所以学校的重点学科才是学校真正的王牌和核心竞争力，它代表是科研水平的，特色专业是其次的、象征意义。</p>
							</div>"
专业相关词条,重点学科,"<div class=""baikeArticle"">
							<p>　　重点学科一般是指高校或学术性科研机构，将有限的资源用于某些学科，以实现人才和技术上的突破，在激烈的竞争中占领专科建设与发展的一席之地，这些专科被称为""重点学科""。</p><p>　　一般所指的重点学科是对高校而言。但也可以泛指其他学科门类，在医院管理中，重点学科有时也被称为""重点学科""。</p><p>　　重点学科，有校级、省级、国家级等不同层次。获得国家重点学科立项的都是该校该专业在全国同类专业中领先的学科，国家通过给予资金以及政策的倾斜保证该学科的发展，使其保持在国内的领先地位，并向世界一流学科冲击。</p><p>　　重点学科一般实行动态管理，进行任期考核。</p>
							</div>"
专业相关词条,珠峰计划专业,"<div class=""baikeArticle"">
							<p>　　基础学科拔尖考生培养试验计划(简称珠峰计划)是教育部为回应;钱学森之问而出台的一项人才培养计划，由教育部联合中组部、财政部于2009年启动。在《国家中长期教育改革和发展规划纲要》制定原则的过程当中，教育部门对基础学科的拔尖创新人才培养做了筹备，已经选择清华、北大、浙大、复旦、南大等16所大学的数、理、化、计算机、生5个学科率先进行试点，力求在创新人才培养方面有所突破，拔尖创新人才的培养是一项系统工程，需社会、家庭、学校等社会各界的大力支持，从而营造拔尖创新人才脱颖而出的良好氛围和政策机制。</p>
							</div>"
专业相关词条,二级学科,"<div class=""baikeArticle"">
							<p>　　二级学科是一级学科下的学科小类，用六位码表示，例如：010103外国哲学。二级学科无法申请成为一级学科，但是可以申请成为硕士和博士学位授予点，而一级学科一旦申请成功，其下的所有二级学科都可申请成为博士学位授予点。</p>
							</div>"
专业相关词条,专业比较判断方法,"<div class=""baikeArticle"">
							<p>　　用时间来判断： 同样的称号，获得的越早，越具有优势;在同一所学校里，获得博士授予权越早的，越是学校的强势学科;在不同的学校之间比较，获得越早的，越是强势学科。</p><p>　　用质量来判断：同样的重点学科，国家级重点学科要优于省级重点学科;同样的博士授予点，一级学科博士点要优于二级学科博士点;重点实验室，教育部重点实验室优于省(市)级重点实验室。</p><p>　　用数量来判断：这个指标很容易理解，在学校的某个专业中，两院院士、长江学者、国家有突出贡献专家及中青年专家，千人计划，国家做出突出贡献并享受政府特殊津贴的专家、百千万人才工程、博导的数量越多的，该专业实力越强。</p>
							</div>"
专业相关词条,一级学科,"<div class=""baikeArticle"">
							<p>　　一级学科，特指高等院校里的学科分类。</p><p>　　一级学科是学科大类，二级学科是其下的学科小类。比如，传统的中国语言与文学/中文是一级学科，而具体到下面的中国古代文学,中国现当代文学，比较文学，文艺学以及语言方面的专业都是二级学科。一级学科是学科大类,用四位码表示，例如：0101哲学。</p>
							</div>"
专业相关词条,专业比较判断依据,"<div class=""baikeArticle"">
							<p>　　学科水平：通过观察学校内的重点学科、博士后流动站、博士点的数量，通常情况下学校的重点学科、博士后流动站和博士点所在的院、系、专业一定是该校的优势专业。教师水平：细数该专业教师中两院院士、长江学者、国家有突出贡献专家及中青年专家，千人计划，国家做出突出贡献并享受政府特殊津贴的专家、百千万人才工程、博导的数量，数量越多，专业越好。</p><p>　　研究机构水平：查阅重点实验室、工程研究中心的名单，有各级重点实验室和工程研究中心名单的院校和专业通常都是具有国家和地方领先水平的专业。</p>
							</div>"
专业相关词条,﻿学科门类,"<div class=""baikeArticle"">
							<p>　　按照国家1997年颁布《授予博士、硕士学位和培养研究生的的学科、专业目录》，分为哲学、经济学、法学、教育学、文学、历史学、理学、工学、农学、医学、军事学、管理学12大门类，2011年8月下旬 ，艺术学首次从文学门类中独立出来，单列为一个学科门类。</p>
							</div>"
